season,total_attempts,total_converted,total_team_games,game_id,attempts_per_game,conversion_rate
2001,485,210,454,454,1.0682819383259912,0.4329896907216495
2019,621,294,490,490,1.2673469387755103,0.47342995169082125
2022,770,396,518,518,1.4864864864864864,0.5142857142857142
2016,496,258,458,458,1.0829694323144106,0.5201612903225806
2007,549,271,464,464,1.1831896551724137,0.4936247723132969
2025,826,458,488,488,1.6926229508196722,0.5544794188861986
2013,498,239,446,446,1.116591928251121,0.4799196787148594
2004,473,231,440,440,1.075,0.4883720930232558
2010,501,246,456,456,1.0986842105263157,0.49101796407185627
2023,833,433,544,544,1.53125,0.5198079231692677
2008,502,263,462,462,1.0865800865800865,0.5239043824701195
2014,468,220,442,442,1.0588235294117647,0.4700854700854701
2005,490,233,438,438,1.1187214611872147,0.47551020408163264
2011,448,194,428,428,1.0467289719626167,0.4330357142857143
2017,513,242,468,468,1.0961538461538463,0.47173489278752434
2020,687,380,508,508,1.3523622047244095,0.5531295487627366
2002,514,259,448,448,1.1473214285714286,0.5038910505836576
2003,533,254,478,478,1.1150627615062763,0.47654784240150094
2006,491,253,452,452,1.086283185840708,0.515274949083503
2009,576,287,496,496,1.1612903225806452,0.4982638888888889
2021,826,441,520,520,1.5884615384615384,0.5338983050847458
2012,473,234,430,430,1.1,0.49471458773784355
2018,565,323,478,478,1.1820083682008369,0.5716814159292035
2024,816,466,548,548,1.489051094890511,0.571078431372549
2000,470,223,426,426,1.1032863849765258,0.474468085106383
2015,503,246,454,454,1.1079295154185023,0.48906560636182905
